Ticker,MMBuy,MMSell,AI1-Average,AI1-Previous,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-Previous,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-Previous,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-Previous,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC21-Previous,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-Previous,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
MUS,,,281,281,219,329,28918,4,281,19530,369.32,370,2215,370,3610,2000,335,24068,170.36,,,,0,,,0,374.81,387,437,387,22028,50,301,16751,316,316,,,0,,,0,370.89,372,55,372,14799,19,330,12790
MWF,,,266,266,3590,324,17187,661,266,101688,290,290,200,300,3772,2000,111,102518,300,300,,,0,,,0,274.45,240,1176,300,19668,1200,240,103200,187.11,,100,410,100,,,0,200,200,200,451,9032,150,250,100650
N,33,,102,102,30869,102,379370,2000,97.6,149899,103.04,105,28129,105,235793,4972,75,12428,150,150,100,180,4600,1000,100,1500,97.9,97.9,4501,97.9,492907,100,92.6,94420,190,190,1976,170,12282,300,120,1140,91.5,91.5,1757,107,268313,3243,91.5,348092
NA,25,,25,25,1000,29,238371,100,25,100,25,25,207,25.2,30053,100,25,100,30,30,1647,30,1647,412,1.1,5546,25,25,24,25.5,154793,100,25,100,1,1,332,10,6010,4674,1,4674,25,25,7347,25.8,143536,100,25,100
NAB,,,199.14,200,1206,200,2435,310,199,310,171.02,175,249,175,18164,1436,160,11499,150,150,62,350,62,,,0,150,150,3077,150,23073,580,101,11580,140,140,1170,300,1170,1000,100,1180,175.83,250,975,479,6975,868,207,968
NCS,,,42,42,27083,42,1656716,121643,35,121643,40.07,42.4,45433,42.4,705770,40920,36,50832,72,72,992,90,1992,,,0,36,36,180,36,3447135,61926,35,561926,42,42,2700,42,2705,,,0,48,48,27220,48,203561,6000,34.3,147500
NE,150,,375,375,1155,375,12756,2000,256,5831,400,400,778,400,8133,300,311,1825,400,400,,,0,,,0,380,380,434,380,3311,100,270,2999,200,200,2000,200,6488,,,0,408.69,419,1318,419,18653,67,239,3480
NF,,,8073.7,7000,10,9000,62,1,7000,1,8500,8500,25,8500,149,,,0,5116.13,,,,0,,,0,6000,6000,144,6000,375,,,0,5116.13,,,,0,,,0,10000,10000,2,20000,2,,,0
NFI,,,18.8,18.8,6564,18.8,899652,19356,15.5,909756,14.06,14,2414,17.7,542976,90170,14,190170,15,15,,,0,,,0,18.4,18.4,74586,18.4,2061365,20000,16.6,1521560,18,18,4800,18,14800,,,0,16.7,16.5,106439,16.5,492917,10000,12.1,210000
NG,,,2790,2790,328,2790,15923,890,1700,4097,1513.35,2500,495,2500,2690,,,0,1300,1300,60,1300,60,,,0,1674,1790,166,1790,4838,275,1300,3300,950,950,76,4000,76,,,0,2227.66,2400,100,2590,1120,789,800,789
