Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
NA,25,,25.100000381469727,523,29,251799,43567,25.100000381469727,43667,25,708,25.100000381469727,32710,100,25,100,30,3000,20,4647,412,1.100000023841858,5546,25,749,25.100000381469727,163630,100,25,100,1,300,6,8886,4579,1,4579,25,409,25.200000762939453,147157,100,25,100
NAB,,,197.25999450683594,1468,198,5019,,,0,130,996,150,18961,8095,130,8095,150,62,350,62,,,0,167,1780,166,24836,40,115,15620,140,1170,300,1170,1000,100,1180,145,3188,145,11289,,,0
NCS,,,44.79999923706055,79822,44.79999923706055,2272364,100,40,471648,41.900001525878906,7352,41.20000076293945,754688,1520,36,61432,72,1367,56,3359,,,0,37,106989,37,3314884,17178,35,517178,42,3700,42,3705,,,0,48.900001525878906,5056,48,163971,10000,40,150000
NE,150,,375,8410,375,14020,53,330,5912,400,565,400,7920,20,361,1610,400,,,0,,,0,380,1120,380,3707,100,270,1999,200,1500,200,5988,,,0,417,7423,417,25887,200,341,3763
NF,,,7000,10,9000,62,1,7000,1,8500,25,8500,164,,,0,5116.1298828125,,,0,,,0,5990,1,5990,376,,,0,5116.1298828125,,,0,,,0,14224.83984375,1,20000,1,,,0
NFI,,,19.34000015258789,6979,19.399999618530273,918381,20000,15.300000190734863,670000,17.5,1131,17.5,533784,90170,14,190170,15,8400,20,8400,,,0,17.5,70637,18.399999618530273,1875231,249998,17.5,913338,18,4800,18,14800,,,0,16,105214,16,470522,115041,14.5,425041
NG,,,1700,125,2730,16102,100,1710,3969,2500,482,2500,2677,,,0,1300,60,1300,60,,,0,1700,855,1700,8396,890,1250,2915,950,76,4000,76,,,0,2200,261,2200,1848,789,800,789
NL,,,8300,147,8300,8742,200,7840,5231,6650,25,8000,3147,571,6650,3379,6300,50,8700,50,100,6500,100,8180,28,8180,5177,101,7000,2124,8000,40,8000,40,,,0,7900,49,7900,3000,22,7100,2151
NN,,,60000,60,62600,554,374,60000,374,63847.69921875,40,63600,125,100,58100,110,30000,,,0,,,0,65000,21,65000,59,90,61000,271,29378.310546875,,,0,,,0,63000,98,63000,102,100,57100,194
NOZ,,,65000,,,0,5,65000,62,95000,8,95000,14,10,65000,40,43575.33984375,,,0,,,0,100000,9,100000,9,10,65000,55,43575.33984375,,,0,,,0,100000,,,0,10,65000,10
